Province_State,Country_Region,Confirmed,Deaths
Nebraska,US,1,0
Nebraska,US,26,0
Nebraska,US,73,0
Nebraska,US,2,0
Nebraska,US,34,0
Nebraska,US,20,2
Nebraska,US,17,1
Nebraska,US,30,0
Nebraska,US,30,0
Nebraska,US,4,0
Nebraska,US,19,0
Nebraska,US,47,0
Nebraska,US,2397,10
Nebraska,US,411,0
Nebraska,US,4,0
Nebraska,US,0,0
Nebraska,US,392,1
Nebraska,US,3,0
Nebraska,US,101,0
Nebraska,US,41,0
Nebraska,US,30,0
Nebraska,US,56,5
Nebraska,US,21,0
Nebraska,US,99,2
Nebraska,US,17,1
Nebraska,US,8,0
Nebraska,US,83,0
Nebraska,US,57,0
Nebraska,US,267,2
Nebraska,US,58,0
Nebraska,US,89,1
Nebraska,US,105,1
Nebraska,US,2,0
Nebraska,US,130,0
Nebraska,US,1560,8
Nebraska,US,89,1
Nebraska,US,291,2
Nebraska,US,59,2
Nebraska,US,21,0
Nebraska,US,16,0
Nebraska,US,1,0
Nebraska,US,30,0
Nebraska,US,22,0
Nebraska,US,1,0
Nebraska,US,44,1
Nebraska,US,-12239,-16
Nebraska,US,25,0
Nebraska,US,173,1
Nebraska,US,40,1
Nebraska,US,53,0
Nebraska,US,3,0
Nebraska,US,120,0
Nevada,US,151,6
Nevada,US,39,0
Nevada,US,4746,96
Nevada,US,59,1
Nevada,US,21,1
Nevada,US,0,0
Nevada,US,2,0
Nevada,US,19,0
Nevada,US,3,0
Nevada,US,5,0
Nevada,US,115,2
Nevada,US,25,0
Nevada,US,35,1
Nevada,US,14,0
Nevada,US,5,0
Nevada,US,594,0
Nevada,US,961,16
Nevada,US,5,1
New Hampshire,US,342,8
New Hampshire,US,155,3
New Hampshire,US,266,0
New Hampshire,US,56,1
New Hampshire,US,291,8
New Hampshire,US,1795,20
New Hampshire,US,652,18
New Hampshire,US,1255,21
New Hampshire,US,504,6
New Hampshire,US,143,0
New Hampshire,US,45,1
New Jersey,US,2401,12
New Jersey,US,8838,33
New Jersey,US,3463,20
New Jersey,US,3989,16
New Jersey,US,897,1
New Jersey,US,1774,4
New Jersey,US,6780,28
New Jersey,US,1865,8
New Jersey,US,5563,19
New Jersey,US,800,4
New Jersey,US,3260,10
New Jersey,US,7114,25
New Jersey,US,5347,18
New Jersey,US,3871,11
New Jersey,US,5136,28
New Jersey,US,4891,11
New Jersey,US,442,1
New Jersey,US,2641,10
New Jersey,US,1111,4
New Jersey,US,-79,0
New Jersey,US,4778,13
New Jersey,US,767,8
New Mexico,US,1499,42
New Mexico,US,9,1
New Mexico,US,239,3
New Mexico,US,77,1
New Mexico,US,31,1
New Mexico,US,203,2
New Mexico,US,10,0
New Mexico,US,702,8
New Mexico,US,135,1
New Mexico,US,123,3
New Mexico,US,12,0
New Mexico,US,2,0
New Mexico,US,18,1
New Mexico,US,295,1
New Mexico,US,76,2
New Mexico,US,30,1
New Mexico,US,69,3
New Mexico,US,280,10
New Mexico,US,4,0
New Mexico,US,208,4
New Mexico,US,47,0
New Mexico,US,103,5
New Mexico,US,111,1
New Mexico,US,405,11
New Mexico,US,73,5
New Mexico,US,370,10
New Mexico,US,326,13
New Mexico,US,13,2
New Mexico,US,49,0
New Mexico,US,31,1
New Mexico,US,24,2
New Mexico,US,24,0
New Mexico,US,5,0
New Mexico,US,179,5
New York,US,1330,13
New York,US,164,0
New York,US,15735,133
New York,US,904,7
New York,US,242,6
New York,US,351,3
New York,US,447,5
New York,US,243,2
New York,US,114,2
New York,US,363,4
New York,US,349,6
New York,US,172,2
New York,US,211,5
New York,US,1768,9
New York,US,3640,51
New York,US,121,4
New York,US,132,3
New York,US,255,3
New York,US,198,2
New York,US,288,3
New York,US,13,0
New York,US,284,2
New York,US,653,4
New York,US,23886,242
New York,US,103,1
New York,US,176,5
New York,US,220,0
New York,US,2655,20
New York,US,218,4
New York,US,9248,86
New York,US,13966,120
New York,US,773,3
New York,US,1199,11
New York,US,2054,16
New York,US,432,5
New York,US,0,0
New York,US,164,3
New York,US,633,7
New York,US,263,3
New York,US,0,11
New York,US,677,6
New York,US,23198,214
New York,US,602,5
New York,US,5954,60
New York,US,2166,12
New York,US,901,16
New York,US,715,9
New York,US,93,2
New York,US,22,0
New York,US,141,1
New York,US,241,3
New York,US,236,2
New York,US,9304,91
New York,US,576,6
New York,US,145,0
New York,US,324,1
New York,US,977,13
New York,US,1,0
New York,US,308,8
New York,US,235,0
New York,US,290,2
New York,US,6463,40
New York,US,85,3
New York,US,69,1
North Carolina,US,1922,9
North Carolina,US,260,3
North Carolina,US,107,1
North Carolina,US,270,1
North Carolina,US,156,3
North Carolina,US,82,0
North Carolina,US,327,1
North Carolina,US,160,1
North Carolina,US,480,1
North Carolina,US,1377,8
North Carolina,US,2050,19
North Carolina,US,852,2
North Carolina,US,1970,13
North Carolina,US,1069,7
North Carolina,US,49,0
North Carolina,US,577,8
North Carolina,US,145,1
North Carolina,US,1528,9
North Carolina,US,611,1
North Carolina,US,193,1
North Carolina,US,219,0
North Carolina,US,183,0
North Carolina,US,916,8
North Carolina,US,521,1
North Carolina,US,939,9
North Carolina,US,3618,10
North Carolina,US,146,1
North Carolina,US,287,1
North Carolina,US,1827,9
North Carolina,US,594,0
North Carolina,US,527,4
North Carolina,US,3144,11
North Carolina,US,489,2
North Carolina,US,4229,15
North Carolina,US,669,2
North Carolina,US,2164,13
North Carolina,US,65,0
North Carolina,US,90,0
North Carolina,US,679,1
North Carolina,US,204,1
North Carolina,US,4845,30
North Carolina,US,701,0
North Carolina,US,1189,4
North Carolina,US,394,3
North Carolina,US,1090,1
North Carolina,US,203,3
North Carolina,US,513,1
North Carolina,US,34,0
North Carolina,US,1678,10
North Carolina,US,267,2
North Carolina,US,2026,8
North Carolina,US,105,2
North Carolina,US,423,4
North Carolina,US,578,4
North Carolina,US,723,0
North Carolina,US,241,4
North Carolina,US,83,3
North Carolina,US,101,1
North Carolina,US,383,2
North Carolina,US,9811,31
North Carolina,US,131,0
North Carolina,US,267,6
North Carolina,US,994,5
North Carolina,US,777,9
North Carolina,US,1809,7
North Carolina,US,212,0
North Carolina,US,1240,6
North Carolina,US,1164,4
North Carolina,US,85,1
North Carolina,US,308,0
North Carolina,US,417,1
North Carolina,US,111,0
North Carolina,US,285,1
North Carolina,US,1488,3
North Carolina,US,143,0
North Carolina,US,1348,7
North Carolina,US,446,1
North Carolina,US,1401,6
North Carolina,US,749,2
North Carolina,US,1354,9
North Carolina,US,610,0
North Carolina,US,611,1
North Carolina,US,438,1
North Carolina,US,690,5
North Carolina,US,709,5
North Carolina,US,993,9
North Carolina,US,202,0
North Carolina,US,261,0
North Carolina,US,16,0
North Carolina,US,0,0
North Carolina,US,2118,6
North Carolina,US,567,3
North Carolina,US,8674,11
North Carolina,US,209,0
North Carolina,US,116,0
North Carolina,US,270,0
North Carolina,US,1397,3
North Carolina,US,688,5
North Carolina,US,760,2
North Carolina,US,515,2
North Carolina,US,72,0
North Dakota,US,7,0
North Dakota,US,44,0
North Dakota,US,29,0
North Dakota,US,2,0
North Dakota,US,19,0
North Dakota,US,4,0
North Dakota,US,3,0
North Dakota,US,303,0
North Dakota,US,699,0
North Dakota,US,13,0
North Dakota,US,28,0
North Dakota,US,17,0
North Dakota,US,10,0
North Dakota,US,12,0
North Dakota,US,1,0
North Dakota,US,23,0
North Dakota,US,3,0
North Dakota,US,268,0
North Dakota,US,3,0
North Dakota,US,6,0
North Dakota,US,3,0
North Dakota,US,3,0
North Dakota,US,8,0
North Dakota,US,6,0
North Dakota,US,12,0
North Dakota,US,39,0
North Dakota,US,22,0
North Dakota,US,23,0
North Dakota,US,23,0
North Dakota,US,80,0
North Dakota,US,33,0
North Dakota,US,29,0
North Dakota,US,1,0
North Dakota,US,39,0
North Dakota,US,10,0
North Dakota,US,69,0
North Dakota,US,24,0
North Dakota,US,6,0
North Dakota,US,48,0
North Dakota,US,119,0
North Dakota,US,26,0
North Dakota,US,1,0
North Dakota,US,9,0
North Dakota,US,0,0
North Dakota,US,151,0
North Dakota,US,4,0
North Dakota,US,85,0
North Dakota,US,11,0
North Dakota,US,10,0
North Dakota,US,0,18
North Dakota,US,32,0
North Dakota,US,192,0
North Dakota,US,31,0
North Dakota,US,121,0
Northern Mariana Islands,US,184,0
Ohio,US,126,2
Ohio,US,465,2
Ohio,US,175,0
Ohio,US,243,2
Ohio,US,311,1
Ohio,US,179,2
Ohio,US,188,6
Ohio,US,200,1
Ohio,US,1426,8
Ohio,US,47,0
Ohio,US,113,0
Ohio,US,545,8
Ohio,US,789,3
Ohio,US,119,2
Ohio,US,219,5
Ohio,US,122,2
Ohio,US,171,3
Ohio,US,4408,20
Ohio,US,189,0
Ohio,US,92,1
Ohio,US,550,7
Ohio,US,310,5
Ohio,US,447,0
Ohio,US,133,0
Ohio,US,3876,23
Ohio,US,116,0
Ohio,US,167,1
Ohio,US,280,1
Ohio,US,705,2
Ohio,US,167,0
Ohio,US,2994,23
Ohio,US,268,2
Ohio,US,91,0
Ohio,US,36,0
Ohio,US,94,1
Ohio,US,200,0
Ohio,US,98,2
Ohio,US,25,0
Ohio,US,174,0
Ohio,US,184,0
Ohio,US,187,4
Ohio,US,124,2
Ohio,US,747,11
Ohio,US,555,0
Ohio,US,603,9
Ohio,US,131,1
Ohio,US,1264,5
Ohio,US,1225,9
Ohio,US,120,1
Ohio,US,706,9
Ohio,US,266,1
Ohio,US,611,3
Ohio,US,153,1
Ohio,US,81,0
Ohio,US,399,6
Ohio,US,63,0
Ohio,US,2428,23
Ohio,US,29,0
Ohio,US,73,1
Ohio,US,401,4
Ohio,US,51,0
Ohio,US,130,1
Ohio,US,35,1
Ohio,US,80,0
Ohio,US,174,1
Ohio,US,149,3
Ohio,US,569,2
Ohio,US,210,1
Ohio,US,169,2
Ohio,US,344,5
Ohio,US,359,1
Ohio,US,255,2
Ohio,US,539,3
Ohio,US,196,3
Ohio,US,102,3
Ohio,US,971,8
Ohio,US,1678,16
Ohio,US,528,7
Ohio,US,259,4
Ohio,US,0,0
Ohio,US,218,2
Ohio,US,63,1
Ohio,US,53,0
Ohio,US,815,1
Ohio,US,199,1
Ohio,US,216,4
Ohio,US,143,1
Ohio,US,358,3
Ohio,US,128,1
Oklahoma,US,168,0
Oklahoma,US,14,0
Oklahoma,US,62,0
Oklahoma,US,15,0
Oklahoma,US,104,0
Oklahoma,US,47,0
Oklahoma,US,426,0
Oklahoma,US,174,0
Oklahoma,US,594,5
Oklahoma,US,638,8
Oklahoma,US,294,0
Oklahoma,US,72,1
Oklahoma,US,10,0
Oklahoma,US,1648,6
Oklahoma,US,53,0
Oklahoma,US,603,1
Oklahoma,US,38,0
Oklahoma,US,66,0
Oklahoma,US,411,3
Oklahoma,US,187,1
Oklahoma,US,223,0
Oklahoma,US,11,0
Oklahoma,US,17,1
Oklahoma,US,225,4
Oklahoma,US,206,1
Oklahoma,US,403,2
Oklahoma,US,10,0
Oklahoma,US,19,0
Oklahoma,US,40,1
Oklahoma,US,8,0
Oklahoma,US,34,0
Oklahoma,US,45,2
Oklahoma,US,118,1
Oklahoma,US,46,0
Oklahoma,US,84,0
Oklahoma,US,264,2
Oklahoma,US,60,1
Oklahoma,US,44,0
Oklahoma,US,46,0
Oklahoma,US,275,0
Oklahoma,US,211,1
Oklahoma,US,198,2
Oklahoma,US,116,1
Oklahoma,US,-52,1
Oklahoma,US,132,0
Oklahoma,US,464,1
Oklahoma,US,315,1
Oklahoma,US,143,1
Oklahoma,US,-86,2
Oklahoma,US,123,1
Oklahoma,US,340,3
Oklahoma,US,41,1
Oklahoma,US,22,0
Oklahoma,US,57,0
Oklahoma,US,3183,26
Oklahoma,US,185,1
Oklahoma,US,250,1
Oklahoma,US,200,1
Oklahoma,US,0,0
Oklahoma,US,65,0
Oklahoma,US,313,3
Oklahoma,US,210,0
Oklahoma,US,451,2
Oklahoma,US,552,2
Oklahoma,US,56,1
Oklahoma,US,25,0
Oklahoma,US,432,2
Oklahoma,US,124,0
Oklahoma,US,173,1
Oklahoma,US,284,0
Oklahoma,US,188,0
Oklahoma,US,17,0
Oklahoma,US,3094,13
Oklahoma,US,22,125
Oklahoma,US,351,2
Oklahoma,US,292,3
Oklahoma,US,78,0
Oklahoma,US,21,1
Oklahoma,US,71,1
Oregon,US,22,0
Oregon,US,285,2
Oregon,US,723,20
Oregon,US,81,1
Oregon,US,79,5
Oregon,US,194,4
Oregon,US,88,2
Oregon,US,47,3
Oregon,US,599,6
Oregon,US,243,10
Oregon,US,3,0
Oregon,US,12,0
Oregon,US,21,0
Oregon,US,41,0
Oregon,US,466,19
Oregon,US,77,0
Oregon,US,200,8
Oregon,US,156,2
Oregon,US,5,1
Oregon,US,995,15
Oregon,US,122,2
Oregon,US,354,10
Oregon,US,73,1
Oregon,US,969,18
Oregon,US,36,0
Oregon,US,1627,26
Oregon,US,255,3
Oregon,US,3,0
Oregon,US,45,0
Oregon,US,244,1
Oregon,US,0,0
Oregon,US,29,1
Oregon,US,8,0
Oregon,US,78,2
Oregon,US,1193,24
Oregon,US,0,0
Oregon,US,225,16
Pennsylvania,US,605,12
Pennsylvania,US,3863,61
Pennsylvania,US,190,4
Pennsylvania,US,498,19
Pennsylvania,US,109,1
Pennsylvania,US,2264,29
Pennsylvania,US,363,8
Pennsylvania,US,259,1
Pennsylvania,US,2747,48
Pennsylvania,US,640,11
Pennsylvania,US,623,7
Pennsylvania,US,26,0
Pennsylvania,US,363,8
Pennsylvania,US,494,5
Pennsylvania,US,1823,22
Pennsylvania,US,118,4
Pennsylvania,US,467,6
Pennsylvania,US,151,2
Pennsylvania,US,354,1
Pennsylvania,US,325,1
Pennsylvania,US,776,13
Pennsylvania,US,1115,18
Pennsylvania,US,2338,31
Pennsylvania,US,129,1
Pennsylvania,US,746,18
Pennsylvania,US,379,7
Pennsylvania,US,8,0
Pennsylvania,US,997,14
Pennsylvania,US,65,1
Pennsylvania,US,122,1
Pennsylvania,US,173,5
Pennsylvania,US,258,3
Pennsylvania,US,185,4
Pennsylvania,US,50,1
Pennsylvania,US,1126,14
Pennsylvania,US,2985,28
Pennsylvania,US,245,8
Pennsylvania,US,886,9
Pennsylvania,US,1899,25
Pennsylvania,US,1558,16
Pennsylvania,US,306,6
Pennsylvania,US,84,2
Pennsylvania,US,311,5
Pennsylvania,US,222,3
Pennsylvania,US,876,7
Pennsylvania,US,3568,52
Pennsylvania,US,106,0
Pennsylvania,US,1692,31
Pennsylvania,US,437,8
Pennsylvania,US,127,0
Pennsylvania,US,7358,54
Pennsylvania,US,280,1
Pennsylvania,US,56,2
Pennsylvania,US,720,11
Pennsylvania,US,109,1
Pennsylvania,US,230,7
Pennsylvania,US,13,0
Pennsylvania,US,148,5
Pennsylvania,US,70,4
Pennsylvania,US,0,0
Pennsylvania,US,103,0
Pennsylvania,US,155,4
Pennsylvania,US,139,6
Pennsylvania,US,559,12
Pennsylvania,US,256,4
Pennsylvania,US,1055,22
Pennsylvania,US,81,2
Pennsylvania,US,2377,25
Puerto Rico,US,281,0
Puerto Rico,US,372,0
Puerto Rico,US,445,0
Puerto Rico,US,192,0
Puerto Rico,US,275,0
Puerto Rico,US,314,0
Puerto Rico,US,706,0
Puerto Rico,US,178,0
Puerto Rico,US,219,0
Puerto Rico,US,343,0
Puerto Rico,US,1643,0
Puerto Rico,US,494,0
Puerto Rico,US,1081,0
Puerto Rico,US,423,0
Puerto Rico,US,326,0
Puerto Rico,US,1069,0
Puerto Rico,US,183,0
Puerto Rico,US,497,0
Puerto Rico,US,108,0
Puerto Rico,US,148,0
Puerto Rico,US,458,0
Puerto Rico,US,375,0
Puerto Rico,US,147,0
Puerto Rico,US,271,0
Puerto Rico,US,21,0
Puerto Rico,US,267,0
Puerto Rico,US,251,0
Puerto Rico,US,131,0
Puerto Rico,US,82,0
Puerto Rico,US,331,0
Puerto Rico,US,170,0
Puerto Rico,US,736,0
Puerto Rico,US,348,0
Puerto Rico,US,366,0
Puerto Rico,US,180,0
Puerto Rico,US,414,0
Puerto Rico,US,396,0
Puerto Rico,US,187,0
Puerto Rico,US,440,0
Puerto Rico,US,294,0
Puerto Rico,US,228,0
Puerto Rico,US,511,0
Puerto Rico,US,82,0
Puerto Rico,US,392,0
Puerto Rico,US,113,0
Puerto Rico,US,145,0
Puerto Rico,US,298,0
Puerto Rico,US,67,0
Puerto Rico,US,116,0
Puerto Rico,US,753,0
Puerto Rico,US,423,0
Puerto Rico,US,221,0
Puerto Rico,US,195,0
Puerto Rico,US,302,0
Puerto Rico,US,192,0
Puerto Rico,US,0,0
Puerto Rico,US,223,0
Puerto Rico,US,158,0
Puerto Rico,US,1188,0
Puerto Rico,US,323,0
Puerto Rico,US,160,0
Puerto Rico,US,379,0
Puerto Rico,US,249,0
Puerto Rico,US,86,0
Puerto Rico,US,267,0
Puerto Rico,US,2021,0
Puerto Rico,US,297,0
Puerto Rico,US,453,0
Puerto Rico,US,218,0
Puerto Rico,US,473,0
Puerto Rico,US,527,0
Puerto Rico,US,482,0
Puerto Rico,US,847,152
Puerto Rico,US,217,0
Puerto Rico,US,265,0
Puerto Rico,US,556,0
Puerto Rico,US,33,0
Puerto Rico,US,209,0
Puerto Rico,US,313,0
Puerto Rico,US,405,0
Recovered,US,0,0
Rhode Island,US,373,0
Rhode Island,US,1571,13
Rhode Island,US,625,1
Rhode Island,US,6576,32
Rhode Island,US,511,1
Rhode Island,US,910,4
South Carolina,US,150,4
South Carolina,US,1409,7
South Carolina,US,30,0
South Carolina,US,1487,22
South Carolina,US,90,2
South Carolina,US,119,1
South Carolina,US,1309,16
South Carolina,US,1501,9
South Carolina,US,111,1
South Carolina,US,2594,23
South Carolina,US,499,3
South Carolina,US,407,0
South Carolina,US,406,2
South Carolina,US,243,2
South Carolina,US,383,2
South Carolina,US,514,5
South Carolina,US,324,3
South Carolina,US,1696,14
South Carolina,US,203,4
South Carolina,US,211,2
South Carolina,US,1154,9
South Carolina,US,513,1
South Carolina,US,3970,35
South Carolina,US,591,7
South Carolina,US,146,5
South Carolina,US,2475,21
South Carolina,US,203,2
South Carolina,US,932,5
South Carolina,US,797,11
South Carolina,US,500,6
South Carolina,US,121,2
South Carolina,US,3283,23
South Carolina,US,277,0
South Carolina,US,280,1
South Carolina,US,55,1
South Carolina,US,417,6
South Carolina,US,531,7
South Carolina,US,798,13
South Carolina,US,1210,14
South Carolina,US,4107,27
South Carolina,US,118,0
South Carolina,US,2888,37
South Carolina,US,1107,8
South Carolina,US,0,0
South Carolina,US,405,7
South Carolina,US,291,6
South Carolina,US,1775,12
South Dakota,US,6,0
South Dakota,US,36,0
South Dakota,US,27,0
South Dakota,US,12,0
South Dakota,US,80,2
South Dakota,US,91,1
South Dakota,US,9,0
South Dakota,US,5,0
South Dakota,US,37,0
South Dakota,US,1,0
South Dakota,US,32,1
South Dakota,US,14,0
South Dakota,US,40,0
South Dakota,US,95,0
South Dakota,US,2,0
South Dakota,US,29,0
South Dakota,US,52,2
South Dakota,US,42,0
South Dakota,US,9,0
South Dakota,US,8,0
South Dakota,US,22,0
South Dakota,US,6,0
South Dakota,US,37,0
South Dakota,US,6,0
South Dakota,US,19,2
South Dakota,US,9,0
South Dakota,US,5,0
South Dakota,US,13,0
South Dakota,US,9,0
South Dakota,US,0,0
South Dakota,US,2,0
South Dakota,US,53,0
South Dakota,US,15,0
South Dakota,US,10,0
South Dakota,US,10,0
South Dakota,US,7,0
South Dakota,US,2,0
South Dakota,US,11,2
South Dakota,US,6,1
South Dakota,US,40,0
South Dakota,US,118,0
South Dakota,US,17,1
South Dakota,US,9,0
South Dakota,US,6,0
South Dakota,US,3,1
South Dakota,US,37,0
South Dakota,US,4,0
South Dakota,US,1,0
South Dakota,US,411,10
South Dakota,US,10,0
South Dakota,US,37,0
South Dakota,US,296,4
South Dakota,US,7,0
South Dakota,US,3,0
South Dakota,US,18,0
South Dakota,US,8,0
South Dakota,US,0,2
South Dakota,US,8,0
South Dakota,US,1,0
South Dakota,US,53,0
South Dakota,US,4,0
South Dakota,US,11,1
South Dakota,US,0,0
South Dakota,US,30,0
South Dakota,US,4,0
South Dakota,US,66,1
South Dakota,US,2,0
Tennessee,US,482,1
Tennessee,US,297,3
Tennessee,US,96,1
Tennessee,US,58,0
Tennessee,US,1036,17
Tennessee,US,535,4
Tennessee,US,356,3
Tennessee,US,60,1
Tennessee,US,308,2
Tennessee,US,410,2
Tennessee,US,165,1
Tennessee,US,133,0
Tennessee,US,173,4
Tennessee,US,23,1
Tennessee,US,298,4
Tennessee,US,401,8
Tennessee,US,153,0
Tennessee,US,172,4
Tennessee,US,2619,21
Tennessee,US,137,3
Tennessee,US,146,1
Tennessee,US,381,7
Tennessee,US,346,0
Tennessee,US,292,2
Tennessee,US,112,4
Tennessee,US,343,1
Tennessee,US,493,1
Tennessee,US,154,5
Tennessee,US,134,4
Tennessee,US,701,4
Tennessee,US,60,2
Tennessee,US,508,1
Tennessee,US,1612,13
Tennessee,US,34,0
Tennessee,US,172,3
Tennessee,US,235,2
Tennessee,US,500,9
Tennessee,US,224,0
Tennessee,US,246,1
Tennessee,US,166,3
Tennessee,US,152,1
Tennessee,US,40,2
Tennessee,US,144,1
Tennessee,US,44,2
Tennessee,US,348,2
Tennessee,US,69,3
Tennessee,US,2429,21
Tennessee,US,79,1
Tennessee,US,155,0
Tennessee,US,149,1
Tennessee,US,77,1
Tennessee,US,237,5
Tennessee,US,433,5
Tennessee,US,127,0
Tennessee,US,1105,2
Tennessee,US,193,2
Tennessee,US,198,0
Tennessee,US,480,10
Tennessee,US,229,2
Tennessee,US,174,2
Tennessee,US,48,0
Tennessee,US,274,6
Tennessee,US,1030,10
Tennessee,US,48,0
Tennessee,US,161,0
Tennessee,US,360,4
Tennessee,US,1079,4
Tennessee,US,109,1
Tennessee,US,44,0
Tennessee,US,57,0
Tennessee,US,51,0
Tennessee,US,317,3
Tennessee,US,138,4
Tennessee,US,401,5
Tennessee,US,393,3
Tennessee,US,1541,15
Tennessee,US,357,3
Tennessee,US,95,2
Tennessee,US,444,5
Tennessee,US,4441,65
Tennessee,US,102,2
Tennessee,US,29,1
Tennessee,US,1240,16
Tennessee,US,917,12
Tennessee,US,371,6
Tennessee,US,54,1
Tennessee,US,932,2
Tennessee,US,131,0
Tennessee,US,94,0
Tennessee,US,36,1
Tennessee,US,278,1
Tennessee,US,1100,7
Tennessee,US,125,4
Tennessee,US,314,0
Tennessee,US,104,3
Tennessee,US,937,7
Tennessee,US,667,6
Texas,US,104,2
Texas,US,109,1
Texas,US,184,4
Texas,US,89,1
Texas,US,50,0
Texas,US,40,0
Texas,US,174,1
Texas,US,98,1
Texas,US,31,0
Texas,US,55,0
Texas,US,397,1
Texas,US,8,0
Texas,US,131,0
Texas,US,1962,3
Texas,US,9404,59
Texas,US,59,0
Texas,US,4,0
Texas,US,53,0
Texas,US,336,3
Texas,US,1486,7
Texas,US,900,1
Texas,US,9,2
Texas,US,13,0
Texas,US,29,2
Texas,US,437,1
Texas,US,97,0
Texas,US,191,2
Texas,US,238,1
Texas,US,140,1
Texas,US,58,2
Texas,US,2685,15
Texas,US,47,0
Texas,US,31,1
Texas,US,95,0
Texas,US,70,0
Texas,US,299,1
Texas,US,206,0
Texas,US,71,0
Texas,US,58,3
Texas,US,23,0
Texas,US,22,0
Texas,US,12,3
Texas,US,4986,19
Texas,US,24,0
Texas,US,137,0
Texas,US,715,4
Texas,US,35,1
Texas,US,32,2
Texas,US,79,6
Texas,US,302,3
Texas,US,14,0
Texas,US,23,1
Texas,US,42,0
Texas,US,41,0
Texas,US,11,0
Texas,US,31,0
Texas,US,10195,61
Texas,US,68,0
Texas,US,127,1
Texas,US,85,2
Texas,US,30,0
Texas,US,3511,23
Texas,US,13,0
Texas,US,15,1
Texas,US,21,0
Texas,US,72,0
Texas,US,73,1
Texas,US,704,3
Texas,US,7,0
Texas,US,3026,23
Texas,US,753,6
Texas,US,141,2
Texas,US,66,1
Texas,US,98,1
Texas,US,57,1
Texas,US,12,1
Texas,US,44,1
Texas,US,5,0
Texas,US,3619,11
Texas,US,30,0
Texas,US,22,1
Texas,US,43,0
Texas,US,13,2
Texas,US,1630,8
Texas,US,26,0
Texas,US,93,0
Texas,US,8,0
Texas,US,32,1
Texas,US,56,0
Texas,US,103,0
Texas,US,378,7
Texas,US,430,2
Texas,US,146,0
Texas,US,540,4
Texas,US,126,1
Texas,US,21,0
Texas,US,5,0
Texas,US,31,0
Texas,US,15,0
Texas,US,126,2
Texas,US,17776,96
Texas,US,161,1
Texas,US,16,0
Texas,US,31,0
Texas,US,1329,5
Texas,US,26,0
Texas,US,271,7
Texas,US,5338,0
Texas,US,128,1
Texas,US,215,1
Texas,US,149,3
Texas,US,118,1
Texas,US,35,2
Texas,US,149,1
Texas,US,8,0
Texas,US,444,0
Texas,US,103,1
Texas,US,14,0
Texas,US,13,0
Texas,US,94,0
Texas,US,127,1
Texas,US,1,0
Texas,US,954,2
Texas,US,14,0
Texas,US,233,0
Texas,US,771,5
Texas,US,50,2
Texas,US,24,0
Texas,US,543,4
Texas,US,108,3
Texas,US,1,0
Texas,US,1,0
Texas,US,141,4
Texas,US,33,0
Texas,US,1,0
Texas,US,9,0
Texas,US,146,1
Texas,US,15,0
Texas,US,22,0
Texas,US,219,5
Texas,US,78,0
Texas,US,103,1
Texas,US,98,0
Texas,US,64,0
Texas,US,62,0
Texas,US,269,1
Texas,US,59,2
Texas,US,2,0
Texas,US,29,1
Texas,US,104,2
Texas,US,24,0
Texas,US,1748,13
Texas,US,20,0
Texas,US,54,0
Texas,US,21,0
Texas,US,17,0
Texas,US,38,0
Texas,US,80,0
Texas,US,248,1
Texas,US,93,0
Texas,US,1211,7
Texas,US,3,0
Texas,US,143,2
Texas,US,16,0
Texas,US,692,4
Texas,US,106,1
Texas,US,15,2
Texas,US,20,1
Texas,US,141,1
Texas,US,2161,16
Texas,US,42,0
Texas,US,30,0
Texas,US,8,0
Texas,US,252,2
Texas,US,178,0
Texas,US,23,0
Texas,US,46,1
Texas,US,1355,4
Texas,US,17,0
Texas,US,16,0
Texas,US,127,3
Texas,US,78,1
Texas,US,109,1
Texas,US,459,3
Texas,US,47,1
Texas,US,40,0
Texas,US,98,0
Texas,US,596,1
Texas,US,10,1
Texas,US,40,1
Texas,US,228,3
Texas,US,19,0
Texas,US,21,0
Texas,US,42,2
Texas,US,159,1
Texas,US,49,0
Texas,US,1,0
Texas,US,56,0
Texas,US,542,5
Texas,US,32,3
Texas,US,187,0
Texas,US,27,2
Texas,US,32,2
Texas,US,59,0
Texas,US,278,2
Texas,US,25,0
Texas,US,11,0
Texas,US,203,1
Texas,US,13,0
Texas,US,130,2
Texas,US,6,0
Texas,US,1058,8
Texas,US,16,0
Texas,US,248,3
Texas,US,20,0
Texas,US,7,0
Texas,US,11,0
Texas,US,18,0
Texas,US,33,0
Texas,US,11354,77
Texas,US,733,9
Texas,US,2,0
Texas,US,17,1
Texas,US,2,0
Texas,US,122,0
Texas,US,1225,4
Texas,US,5745,15
Texas,US,40,2
Texas,US,169,0
Texas,US,0,0
Texas,US,78,0
Texas,US,24,0
Texas,US,48,2
Texas,US,63,2
Texas,US,227,0
Texas,US,435,1
Texas,US,275,0
Texas,US,112,1
Texas,US,51,0
Texas,US,160,2
Texas,US,1193,8
Texas,US,229,0
Texas,US,41,1
Texas,US,1001,10
Texas,US,94,0
Texas,US,131,0
Texas,US,2927,10
Texas,US,99,0
Texas,US,38,0
Texas,US,282,4
Texas,US,179,3
Texas,US,1,1
Texas,US,43,0
Texas,US,87,0
Texas,US,33,0
Utah,US,215,3
Utah,US,94,3
Utah,US,772,4
Utah,US,2612,24
Utah,US,35,2
Utah,US,36,4
Utah,US,383,4
